MA,PhD,University,BA,MUPP,University of Massachusetts,Roxbury Community College,University of Massachusetts Boston,Certificate,MA (Humanitarian Assistance),MA (Professional Communication),Graduate Certificate,M.A in Teaching and Learning Spanish and its Culture,PhD in Resource Economics,BA (Political Science),Bachelor Degree in Liberal Arts,Associates Degree in Science,MS,ABD,MEd,PhD in Language,M.A. in Education,MFA,PhD with distinction,MFA in Integrated Electronic Arts,PhD 1986,PhD 1994,BFA & BA,MPhil,BFA,D.Phil.,Masters in South Asia Studies,LCSW,PhD (Communication),BS,PhD (Mass Communication),MA (Advertising),PhD (Communication Studies),MA (Communication),MA (Linguistics),BA (English),MA (American Studies),MA (Sociocultural Anthropology),MBA,MA (Mass Communication),BA (Communication),CAGS,MPPA,PhD (History),BA (History),MA/MPhil (History) Columbia University,BA (History/Politics) Monash University,MA (History) Monash University,Ph.D. (ABD) Translation Pedagogy,MMEd,BMus,BM,Masters of Music,MM,Diploma,DMA,PGD,Bachelor of Music
,,The University of Virginia,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,The Pennsylvania State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,University of Illinois at Urbana-Champaign,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.0,2014,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.0,2011,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2004,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rensselaer Polytechnic Institute,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.0,Berkeley,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Boulder,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,Emory University 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,Tufts University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Colby College,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.0,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2012,,,,,,,,,,,,,,,,,,,,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.0,2002,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
